1,Bulbasaur,1,Kanto,Grass,Poison,45,49,49,65,65,45,318,0.7,6.9,45,FALSE,1,Chlorophyll,87.5% male / 12.5% female,Wild/Starter,70,Green,Quadruped
2,Ivysaur,1,Kanto,Grass,Poison,60,62,63,80,80,60,405,1,13,45,FALSE,2,Chlorophyll,87.5% male / 12.5% female,Evolution,70,Green,Quadruped
3,Venusaur,1,Kanto,Grass,Poison,80,82,83,100,100,80,525,2,100,45,FALSE,3,Chlorophyll,87.5% male / 12.5% female,Evolution,70,Green,Quadruped
4,Charmander,1,Kanto,Fire,,39,52,43,60,50,65,309,0.6,8.5,45,FALSE,1,Solar Power,87.5% male / 12.5% female,Wild/Starter,70,Red,Bipedal
5,Charmeleon,1,Kanto,Fire,,58,64,58,80,65,80,405,1.1,19,45,FALSE,2,Solar Power,87.5% male / 12.5% female,Evolution,70,Red,Bipedal
6,Charizard,1,Kanto,Fire,Flying,78,84,78,109,85,100,534,1.7,90.5,45,FALSE,3,Solar Power,87.5% male / 12.5% female,Evolution,70,Red,Winged
7,Squirtle,1,Kanto,Water,,44,48,65,50,64,43,314,0.5,9,45,FALSE,1,Rain Dish,87.5% male / 12.5% female,Wild/Starter,70,Blue,Bipedal
8,Wartortle,1,Kanto,Water,,59,63,80,65,80,58,405,1,22.5,45,FALSE,2,Rain Dish,87.5% male / 12.5% female,Evolution,70,Blue,Bipedal
9,Blastoise,1,Kanto,Water,,79,83,100,85,105,78,530,1.6,85.5,45,FALSE,3,Rain Dish,87.5% male / 12.5% female,Evolution,70,Blue,Bipedal
10,Caterpie,1,Kanto,Bug,,45,30,35,20,20,45,195,0.3,2.9,255,FALSE,1,Run Away,50% male / 50% female,Wild,70,Green,Insectoid
11,Metapod,1,Kanto,Bug,,50,20,55,25,25,30,205,0.7,9.9,120,FALSE,2,,50% male / 50% female,Wild/Evolution,70,Green,Oval
12,Butterfree,1,Kanto,Bug,Flying,60,45,50,90,80,70,395,1.1,32,45,FALSE,3,Tinted Lens,50% male / 50% female,Wild/Evolution,70,White,Winged
13,Weedle,1,Kanto,Bug,Poison,40,35,30,20,20,50,195,0.3,3.2,255,FALSE,1,Run Away,50% male / 50% female,Wild,70,Brown,Insectoid
14,Kakuna,1,Kanto,Bug,Poison,45,25,50,25,25,35,205,0.6,10,120,FALSE,2,,50% male / 50% female,Wild/Evolution,70,Yellow,Oval
15,Beedrill,1,Kanto,Bug,Poison,65,90,40,45,80,75,395,1,29.5,45,FALSE,3,Sniper,50% male / 50% female,Wild/Evolution,70,Yellow,Insectoid
16,Pidgey,1,Kanto,Normal,Flying,40,45,40,35,35,56,251,0.3,1.8,255,FALSE,1,Big Pecks,50% male / 50% female,Wild,70,Brown,Winged
17,Pidgeotto,1,Kanto,Normal,Flying,63,60,55,50,50,71,349,1.1,30,120,FALSE,2,Big Pecks,50% male / 50% female,Wild/Evolution,70,Brown,Winged
18,Pidgeot,1,Kanto,Normal,Flying,83,80,75,70,70,101,479,1.5,39.5,45,FALSE,3,Big Pecks,50% male / 50% female,Wild/Evolution,70,Brown,Winged
19,Rattata,1,Kanto,Normal,,30,56,35,25,35,72,253,0.3,3.5,255,FALSE,1,Hustle,50% male / 50% female,Wild,70,Purple,Quadruped
21,Spearow,1,Kanto,Normal,Flying,40,60,30,31,31,70,262,0.3,2,255,FALSE,1,Sniper,50% male / 50% female,Wild,70,Brown,Winged
22,Fearow,1,Kanto,Normal,Flying,65,90,65,61,61,100,442,1.2,38,90,FALSE,2,Sniper,50% male / 50% female,Wild/Evolution,70,Brown,Winged
23,Ekans,1,Kanto,Poison,,35,60,44,40,54,55,288,2,6.9,255,FALSE,1,Unnerve,50% male / 50% female,Wild,70,Purple,Serpentine
24,Arbok,1,Kanto,Poison,,60,95,69,65,79,80,448,3.5,65,90,FALSE,2,Unnerve,50% male / 50% female,Wild/Evolution,70,Purple,Serpentine
20,Raticate,1,Kanto,Normal,,55,81,60,50,70,97,413,0.7,18.5,127,FALSE,2,Hustle,50% male / 50% female,Wild/Evolution,70,Brown,Quadruped
25,Pikachu,1,Kanto,Electric,,35,55,40,50,50,90,320,0.4,6,190,FALSE,1,Lightning Rod,50% male / 50% female,Wild,70,Yellow,Quadruped
26,Raichu,1,Kanto,Electric,,60,90,55,90,80,110,485,0.8,30,75,FALSE,2,Lightning Rod,50% male / 50% female,Wild/Evolution,70,Yellow,Bipedal
27,Sandshrew,1,Kanto,Ground,,50,75,85,20,30,40,300,0.6,12,255,FALSE,1,Sand Rush,50% male / 50% female,Wild,70,Yellow,Bipedal
28,Sandslash,1,Kanto,Ground,,75,100,110,45,55,65,450,1,29.5,90,FALSE,2,Sand Rush,50% male / 50% female,Wild/Evolution,70,Yellow,Bipedal
29,Nidoran♀,1,Kanto,Poison,,55,47,52,40,40,41,275,0.4,7,235,FALSE,1,Hustle,0% male / 100% female,Wild,70,Blue,Quadruped
30,Nidorina,1,Kanto,Poison,,70,62,67,55,55,56,365,0.8,20,120,FALSE,2,Hustle,0% male / 100% female,Wild/Evolution,70,Blue,Bipedal
31,Nidoqueen,1,Kanto,Poison,Ground,90,92,87,75,85,76,505,1.3,60,45,FALSE,3,Sheer Force,0% male / 100% female,Evolution,70,Blue,Bipedal
32,Nidoran♂,1,Kanto,Poison,,46,57,40,40,40,50,273,0.5,9,235,FALSE,1,Hustle,100% male / 0% female,Wild,70,Purple,Quadruped
33,Nidorino,1,Kanto,Poison,,61,72,57,55,55,65,365,0.9,19.5,120,FALSE,2,Hustle,100% male / 0% female,Wild/Evolution,70,Purple,Bipedal
34,Nidoking,1,Kanto,Poison,Ground,81,102,77,85,75,85,505,1.4,62,45,FALSE,3,Sheer Force,100% male / 0% female,Evolution,70,Purple,Bipedal
35,Clefairy,1,Kanto,Fairy,,70,45,48,60,65,35,323,0.6,7.5,150,FALSE,1,Friend Guard,25% male / 75% female,Wild,140,Pink,Bipedal
36,Clefable,1,Kanto,Fairy,,95,70,73,95,90,60,483,1.3,40,25,FALSE,2,Unaware,25% male / 75% female,Evolution,140,Pink,Bipedal
37,Vulpix,1,Kanto,Fire,,38,41,40,50,65,65,299,0.6,9.9,190,FALSE,1,Drought,25% male / 75% female,Wild,70,Brown,Quadruped
38,Ninetales,1,Kanto,Fire,,73,76,75,81,100,100,505,1.1,19.9,75,FALSE,2,Drought,25% male / 75% female,Wild/Evolution,70,Yellow,Quadruped
39,Jigglypuff,1,Kanto,Normal,Fairy,115,45,20,45,25,20,270,0.5,5.5,170,FALSE,1,Friend Guard,25% male / 75% female,Wild,70,Pink,Bipedal
40,Wigglytuff,1,Kanto,Normal,Fairy,140,70,45,85,50,45,435,1,12,50,FALSE,2,Frisk,25% male / 75% female,Wild/Evolution,70,Pink,Bipedal
41,Zubat,1,Kanto,Poison,Flying,40,45,35,30,40,55,245,0.8,7.5,255,FALSE,1,Infiltrator,50% male / 50% female,Wild,70,Purple,Winged
42,Golbat,1,Kanto,Poison,Flying,75,80,70,65,75,90,455,1.6,55,90,FALSE,2,Infiltrator,50% male / 50% female,Wild/Evolution,70,Purple,Winged
43,Oddish,1,Kanto,Grass,Poison,45,50,55,75,65,30,320,0.5,5.4,255,FALSE,1,Run Away,50% male / 50% female,Wild,70,Blue,Plant
44,Gloom,1,Kanto,Grass,Poison,60,65,70,85,75,40,395,0.8,8.6,120,FALSE,2,Stench,50% male / 50% female,Wild/Evolution,70,Blue,Plant
45,Vileplume,1,Kanto,Grass,Poison,75,80,85,110,90,50,490,1.2,18.6,45,FALSE,3,Effect Spore,50% male / 50% female,Evolution,70,Red,Plant
46,Paras,1,Kanto,Bug,Grass,35,70,55,45,55,25,285,0.3,5.4,190,FALSE,1,Damp,50% male / 50% female,Wild,70,Red,Insectoid
47,Parasect,1,Kanto,Bug,Grass,60,95,80,60,80,30,405,1,29.5,75,FALSE,2,Damp,50% male / 50% female,Wild/Evolution,70,Red,Insectoid
48,Venonat,1,Kanto,Bug,Poison,60,55,50,40,55,45,305,1,30,190,FALSE,1,Run Away,50% male / 50% female,Wild,70,Purple,Insectoid
49,Venomoth,1,Kanto,Bug,Poison,70,65,60,90,75,90,450,1.5,12.5,75,FALSE,2,Wonder Skin,50% male / 50% female,Wild/Evolution,70,Purple,Winged
50,Diglett,1,Kanto,Ground,,10,55,25,35,45,95,265,0.2,0.8,255,FALSE,1,Sand Force,50% male / 50% female,Wild,70,Brown,Heads
51,Dugtrio,1,Kanto,Ground,,35,100,50,50,70,120,425,0.7,33.3,50,FALSE,2,Sand Force,50% male / 50% female,Wild/Evolution,70,Brown,Heads
52,Meowth,1,Kanto,Normal,,40,45,35,40,40,90,290,0.4,4.2,255,FALSE,1,Unnerve,50% male / 50% female,Wild,70,Yellow,Quadruped
53,Persian,1,Kanto,Normal,,65,70,60,65,65,115,440,1,32,90,FALSE,2,Unnerve,50% male / 50% female,Wild/Evolution,70,Yellow,Quadruped
54,Psyduck,1,Kanto,Water,,50,52,48,65,50,55,320,0.8,19.6,190,FALSE,1,Swift Swim,50% male / 50% female,Wild,70,Yellow,Bipedal
55,Golduck,1,Kanto,Water,,80,82,78,95,80,85,500,1.7,76.6,75,FALSE,2,Swift Swim,50% male / 50% female,Wild/Evolution,70,Blue,Bipedal
56,Mankey,1,Kanto,Fighting,,40,80,35,35,45,70,305,0.5,28,190,FALSE,1,Defiant,50% male / 50% female,Wild,70,Brown,Bipedal
57,Primeape,1,Kanto,Fighting,,65,105,60,60,70,95,455,1,32,75,FALSE,2,Defiant,50% male / 50% female,Wild/Evolution,70,Brown,Bipedal
58,Growlithe,1,Kanto,Fire,,55,70,45,70,50,60,350,0.7,19,190,FALSE,1,Justified,75% male / 25% female,Wild,70,Brown,Quadruped
59,Arcanine,1,Kanto,Fire,,90,110,80,100,80,95,555,1.9,155,75,FALSE,2,Justified,75% male / 25% female,Wild/Evolution,70,Brown,Quadruped
60,Poliwag,1,Kanto,Water,,40,50,40,40,40,90,300,0.6,12.4,255,FALSE,1,Swift Swim,50% male / 50% female,Wild,70,Blue,Legs
61,Poliwhirl,1,Kanto,Water,,65,65,65,50,50,90,385,1,20,120,FALSE,2,Swift Swim,50% male / 50% female,Wild/Evolution,70,Blue,Bipedal
62,Poliwrath,1,Kanto,Water,Fighting,90,95,95,70,90,70,510,1.3,54,45,FALSE,3,Swift Swim,50% male / 50% female,Evolution,70,Blue,Bipedal
63,Abra,1,Kanto,Psychic,,25,20,15,105,55,90,310,0.9,19.5,200,FALSE,1,Magic Guard,75% male / 25% female,Wild,70,Brown,Bipedal
64,Kadabra,1,Kanto,Psychic,,40,35,30,120,70,105,400,1.3,56.5,100,FALSE,2,Magic Guard,75% male / 25% female,Wild/Evolution,70,Brown,Bipedal
65,Alakazam,1,Kanto,Psychic,,55,50,45,135,95,120,500,1.5,48,50,FALSE,3,Magic Guard,75% male / 25% female,Trade,70,Brown,Bipedal
66,Machop,1,Kanto,Fighting,,70,80,50,35,35,35,305,0.8,19.5,180,FALSE,1,Steadfast,75% male / 25% female,Wild,70,Gray,Bipedal
67,Machoke,1,Kanto,Fighting,,80,100,70,50,60,45,405,1.5,70.5,90,FALSE,2,Steadfast,75% male / 25% female,Wild/Evolution,70,Gray,Bipedal
68,Machamp,1,Kanto,Fighting,,90,130,80,65,85,55,505,1.6,130,45,FALSE,3,Steadfast,75% male / 25% female,Trade,70,Gray,Bipedal
69,Bellsprout,1,Kanto,Grass,Poison,50,75,35,70,30,40,300,0.7,4,255,FALSE,1,Gluttony,50% male / 50% female,Wild,70,Green,Plant
70,Weepinbell,1,Kanto,Grass,Poison,65,90,50,85,45,55,390,1,6.4,120,FALSE,2,Gluttony,50% male / 50% female,Wild/Evolution,70,Green,Plant
71,Victreebel,1,Kanto,Grass,Poison,80,105,65,100,70,70,490,1.7,15.5,45,FALSE,3,Gluttony,50% male / 50% female,Evolution,70,Green,Plant
72,Tentacool,1,Kanto,Water,Poison,40,40,35,50,100,70,335,0.9,45.5,190,FALSE,1,Rain Dish,50% male / 50% female,Wild,70,Blue,Tentacles
73,Tentacruel,1,Kanto,Water,Poison,80,70,65,80,120,100,515,1.6,55,60,FALSE,2,Rain Dish,50% male / 50% female,Wild/Evolution,70,Blue,Tentacles
74,Geodude,1,Kanto,Rock,Ground,40,80,100,30,30,20,300,0.4,20,255,FALSE,1,Sand Veil,50% male / 50% female,Wild,70,Brown,Arms
75,Graveler,1,Kanto,Rock,Ground,55,95,115,45,45,35,390,1,105,120,FALSE,2,Sand Veil,50% male / 50% female,Wild/Evolution,70,Brown,Arms
76,Golem,1,Kanto,Rock,Ground,80,120,130,55,65,45,495,1.4,300,45,FALSE,3,Sand Veil,50% male / 50% female,Trade,70,Brown,Arms
77,Ponyta,1,Kanto,Fire,,50,85,55,65,65,90,410,1,30,190,FALSE,1,Flame Body,50% male / 50% female,Wild,70,Yellow,Quadruped
78,Rapidash,1,Kanto,Fire,,65,100,70,80,80,105,500,1.7,95,60,FALSE,2,Flame Body,50% male / 50% female,Wild/Evolution,70,Yellow,Quadruped
79,Slowpoke,1,Kanto,Water,Psychic,90,65,65,40,40,15,315,1.2,36,190,FALSE,1,Regenerator,50% male / 50% female,Wild,70,Pink,Quadruped
80,Slowbro,1,Kanto,Water,Psychic,95,75,110,100,80,30,490,1.6,78.5,75,FALSE,2,Regenerator,50% male / 50% female,Wild/Evolution,70,Pink,Upright
81,Magnemite,1,Kanto,Electric,Steel,25,35,70,95,55,45,325,0.3,6,190,FALSE,1,Analytic,Genderless,Wild,70,Gray,Ball
82,Magneton,1,Kanto,Electric,Steel,50,60,95,120,70,70,465,1,60,60,FALSE,2,Analytic,Genderless,Wild/Evolution,70,Gray,Heads
83,Farfetch'd,1,Kanto,Normal,Flying,52,90,55,58,62,60,377,0.8,15,45,FALSE,1,Defiant,50% male / 50% female,Wild,70,Brown,Winged
84,Doduo,1,Kanto,Normal,Flying,35,85,45,35,35,75,310,1.4,39.2,190,FALSE,1,Tangled Feet,50% male / 50% female,Wild,70,Brown,Legs
85,Dodrio,1,Kanto,Normal,Flying,60,110,70,60,60,110,470,1.8,85.2,45,FALSE,2,Tangled Feet,50% male / 50% female,Wild/Evolution,70,Brown,Legs
86,Seel,1,Kanto,Water,,65,45,55,45,70,45,325,1.1,90,190,FALSE,1,Ice Body,50% male / 50% female,Wild,70,White,Fish
87,Dewgong,1,Kanto,Water,Ice,90,70,80,70,95,70,475,1.7,120,75,FALSE,2,Ice Body,50% male / 50% female,Wild/Evolution,70,White,Fish
88,Grimer,1,Kanto,Poison,,80,80,50,40,50,25,325,0.9,30,190,FALSE,1,Poison Touch,50% male / 50% female,Wild,70,Purple,Arms
89,Muk,1,Kanto,Poison,,105,105,75,65,100,50,500,1.2,30,75,FALSE,2,Poison Touch,50% male / 50% female,Wild/Evolution,70,Purple,Arms
90,Shellder,1,Kanto,Water,,30,65,100,45,25,40,305,0.3,4,190,FALSE,1,Overcoat,50% male / 50% female,Wild,70,Purple,Ball
91,Cloyster,1,Kanto,Water,Ice,50,95,180,85,45,70,525,1.5,132.5,60,FALSE,2,Overcoat,50% male / 50% female,Evolution,70,Purple,Ball
92,Gastly,1,Kanto,Ghost,Poison,30,35,30,100,35,80,310,1.3,0.1,190,FALSE,1,Levitate,50% male / 50% female,Wild,70,Purple,Heads
93,Haunter,1,Kanto,Ghost,Poison,45,50,45,115,55,95,405,1.6,0.1,90,FALSE,2,Levitate,50% male / 50% female,Wild/Evolution,70,Purple,Heads
94,Gengar,1,Kanto,Ghost,Poison,60,65,60,130,75,110,500,1.5,40.5,45,FALSE,3,Levitate,50% male / 50% female,Trade,70,Purple,Bipedal
95,Onix,1,Kanto,Rock,Ground,35,45,160,30,45,70,385,8.8,210,45,FALSE,1,Weak Armor,50% male / 50% female,Wild,70,Gray,Serpentine
